,close,returns,volatility_21d,volatility_regime,price_vs_ma_50,price_vs_ma_200,momentum_10,momentum_20,market_phase
2020-08-05,93.58566318299016,0.015057911618558295,0.23476781984952583,High,1.159021401532856,-0.5826088550455077,3.8358012168794753,0.6904450831739961,Bull
2020-08-06,94.84895295437266,0.01349875321086702,0.23207966235122032,Medium,2.4965905349253026,0.7794108679362699,6.320727453314023,1.6774823195522925,Bull
2020-08-07,95.21983481448557,0.003910236734941286,0.23211646393865676,Medium,2.8867691346210034,1.1788166384167242,4.338054927932888,3.8823414756521846,Bull
2020-08-08,95.27074185719184,0.0005346264547239077,0.2222318997968852,Medium,2.9282687655512785,1.2483755969682209,2.419785335157787,5.850391542757194,Bull
2020-08-09,92.50786262353901,-0.029000290958102415,0.23734278950158072,High,-0.04276882106739599,-1.6509091153345645,-2.665741224097451,3.8379911571194025,Bull
2020-08-10,91.73393011781523,-0.008366126767767823,0.23630599387653622,High,-0.8880653152415263,-2.424075920372859,-4.252313779935257,2.082609907920685,Bull
2020-08-11,91.20357995077664,-0.005781395895253283,0.23607702371733114,High,-1.4801893651797515,-2.9410731679248348,-3.9660779058739437,-0.6554955618534808,Sideways
2020-08-12,92.45877036299864,0.01376251253404126,0.22880638195640793,Medium,-0.16141632615628287,-1.5721632115897721,-0.6076089129963713,-0.27386669478781656,Sideways
2020-08-13,94.57071252921558,0.022841988466051788,0.2396922580974683,High,2.0752349683699656,0.6905185057754615,2.5189887735672434,2.0977296880998697,Bull
2020-08-14,94.94248847283512,0.003931195331796644,0.23977829174427787,High,2.4573965266642572,1.0870213604586176,2.9774441889314662,3.531800476186664,Bull
2020-08-15,93.20054344415956,-0.018347370673499452,0.24639497606377028,High,0.6166377044976246,-0.7531975207428765,-0.411515744754154,3.408500546180404,Bull
2020-08-16,91.00565486289877,-0.023550169346124528,0.2531776880465336,High,-1.6949654216025345,-3.0597619971202805,-4.052019523423445,2.012590819459903,Bull
2020-08-17,90.27251194720539,-0.008056014945421408,0.2521400941569056,High,-2.4283868666609476,-3.7995901677045474,-5.195685202477951,-1.083021952511043,Recovery
2020-08-18,90.18055864645298,-0.00101861905433831,0.23874250098971372,High,-2.4862425101413788,-3.856866496768996,-5.342860894658408,-3.0523613239074487,Recovery
2020-08-19,91.82898505394282,0.0182791771556039,0.23772904823825028,High,-0.697634332460384,-2.0613158530533138,-0.7338593178386255,-3.3800377515735724,Bear
2020-08-20,93.37636980444005,0.016850722564212717,0.23251925555806302,Medium,0.9711951861809176,-0.3892329966400765,1.790438591822463,-2.5380102550741412,Bear
2020-08-21,93.31728243814922,-0.0006327871431988097,0.23031115057757606,Medium,0.9409150012264389,-0.4416415407626051,2.317565262803667,-1.7404290869125316,Bear
2020-08-22,93.5364812245516,0.0023489623859080933,0.22890548536120042,Medium,1.2118291370939671,-0.19096985459281512,1.165612366811497,0.5509210891833982,Sideways
2020-08-23,92.16315717120287,-0.01468222917272044,0.22336922027289255,Medium,-0.22993159042071776,-1.6310466651226596,-2.545772674884894,-0.09091162919854234,Bear
2020-08-24,89.73613376071218,-0.02633398730017722,0.2395848672515785,High,-2.7971200963128884,-4.17477516845397,-5.483693123982714,-2.669522837310112,Bear
2020-08-25,90.20594249625648,0.0052354465905237735,0.24061972218486838,High,-2.2627082637101448,-3.6373685591058247,-3.213072410567297,-3.6113658564616125,Bear
2020-08-26,91.29360500285368,0.012057548277845775,0.23832139961761403,High,-1.0822601084612193,-2.457962132702174,0.31640906313867845,-3.748431417297027,Bear
2020-08-27,93.39471590729758,0.023014874967181242,0.24774582302551212,High,1.1696895340118196,-0.2139622271924546,3.458643049523391,-1.9167423580851772,Bear
2020-08-28,93.20564904427559,-0.0020243850113496054,0.24723117095391683,High,0.9731646533135185,-0.41674458469959097,3.3544817677192196,-2.1676044215250934,Bear
2020-08-29,92.01075320420199,-0.012819993769969784,0.2505594067880397,High,-0.27310930855537485,-1.6844205099734388,0.19794202250236204,-0.537369911312302,Bear
2020-08-30,90.59716424663614,-0.015363301661368123,0.23574145957207682,High,-1.7503704380704477,-3.1709052134755056,-2.9763478314957514,-1.2391989198752618,Bear
2020-08-31,90.09968234907512,-0.005491142042886699,0.23480088444754896,High,-2.2736322218230076,-3.6695336370412446,-3.4480216365138205,-1.2103665254119433,Bear
2020-09-01,89.5911084231833,-0.005644569577076264,0.23476442741829706,High,-2.8212217874117984,-4.1841490269167725,-4.218004301334255,-3.1015575142917418,Bear
2020-09-02,90.88202898014896,0.014409025400913711,0.2352779379938795,High,-1.4344075014583568,-2.790260292540514,-1.3900654343623198,-3.9004502032562005,Bear
2020-09-03,92.06697484989247,0.013038285819986895,0.225143188064326,Medium,-0.16398899862707372,-1.5271762777310571,2.597438725626011,-3.0286899671535195,Bear
2020-09-04,91.93723563279903,-0.0014091830138328598,0.22437405124924742,Medium,-0.282904960927588,-1.6684269275423436,1.9192672773352903,-1.3554725806051104,Bear
2020-09-05,92.17275759399152,0.002561769010906323,0.21605285433184518,Medium,-0.0033452762648877865,-1.4157161009200725,0.9629947148109164,1.2824507805047958,Sideways
2020-09-06,90.72599691130476,-0.015696185298692544,0.20699032310296453,Medium,-1.5529339972813583,-2.9570845105144627,-2.8574625128061415,0.502351108125354,Sideways
2020-09-07,88.63858149918019,-0.02300790824227883,0.22031434717421,Medium,-3.7894627766358657,-5.163135284546694,-4.899990067046145,-1.7098775727460436,Bear
2020-09-08,89.72950678974784,0.012307567112609386,0.2249188776129462,Medium,-2.6188928701008862,-3.974483173018384,-2.479325877695304,-2.2862914829796743,Bear
2020-09-09,92.97185664542826,0.036134711664890906,0.2504067905842463,High,0.8318926460167075,-0.5093404145262492,2.6211553292412093,-0.4332072020565403,Bear
2020-09-10,95.35412524938017,0.02562354555354629,0.25922195095516143,High,3.336019609757046,2.0169838095365655,5.83181068269214,2.182706952038571,Correction
2020-09-11,94.4782504437346,-0.00918549463229723,0.2616346100899656,High,2.3476615069127016,1.063019705225332,5.454940904924288,1.006846961585084,Correction
2020-09-12,92.97941554870985,-0.015864337961225883,0.26773996376928355,High,0.7163073930476438,-0.5406203125591591,2.3078122177697225,0.8856666834781812,Bull
2020-09-13,92.2943841708573,-0.007367559516371469,0.2639089455591226,High,-0.03851784420640936,-1.266816293658246,0.24700422853645154,2.8508587376484096,Bull
2020-09-14,90.59888946712337,-0.01837050779379157,0.2551163361302751,High,-1.8848580244615554,-3.0588338789828695,-1.4557172145365227,0.43561095864963484,Bull
2020-09-15,91.35594114211517,0.008356081177645303,0.25606144979872597,High,-1.1109583407533874,-2.226381652420739,-0.8861799008708315,0.06828094833097875,Bull
2020-09-16,93.58388531923357,0.02438751272511741,0.2662940021250069,High,1.2497799037994861,0.16987200136995284,3.1500214990447972,0.20254830275812097,Bull
2020-09-17,94.32473628144633,0.00791643731915559,0.25571701688373916,High,2.0225111016997976,0.9585826793381935,6.414988469009675,1.2006646041798907,Bull
2020-09-18,94.65164731208144,0.0034658038126889057,0.25571572142474236,High,2.3847338382326555,1.295656030077641,5.485531681197187,2.8702015970007766,Bull
2020-09-19,90.65170221610742,-0.04225964586528075,0.2931500371671864,High,-1.8325018302581042,-2.981181280527101,-2.49554490254974,0.06019831848469437,Bull
2020-09-20,87.98220718785635,-0.029447820206256914,0.3059030039783598,High,-4.57890417259158,-5.820033041355799,-7.731095054612491,-2.350147199204322,Recovery
2020-09-21,86.66626777373443,-0.014956881126114152,0.309308166560004,High,-5.876304505290831,-7.1913816813133025,-8.268551368499876,-3.2646550544205732,Bear
2020-09-22,85.89471294788551,-0.00890259665805937,0.3100410894143392,High,-6.585357987671481,-7.966649923168823,-7.619646304522987,-5.487681215119888,Bear
2020-09-23,88.9885338775368,0.03601875858795167,0.33251802403709085,High,-3.1530841105289698,-4.620393213294038,-3.5818542189962943,-3.3436973218407773,Bear
2020-09-24,89.20145572498059,0.002392688565212353,0.32896445995127493,High,-2.8286315464333467,-4.364329006525624,-1.542440255462385,-2.9757039016761966,Bear
2020-09-25,89.17107832661776,-0.0003405482356306777,0.32898082555218044,High,-2.741410754632745,-4.3719696736587155,-2.391593571455408,-3.256579650785485,Bear
2020-09-26,88.2203998447407,-0.010661287266201858,0.33023727354902827,High,-3.631171580840198,-5.363706993159745,-5.731206239404296,-2.761718969055338,Bear
2020-09-27,87.89480442071861,-0.003690704469658912,0.3265057292683096,High,-3.831871049379232,-5.673315392455558,-6.816803432709396,-0.8391121178630945,Bear
2020-09-28,85.41026317860396,-0.028267213955242676,0.33138195664107767,High,-6.404910236851935,-8.27191466803897,-9.76357453453206,-4.813626827643935,Bear
2020-09-29,86.95923887975218,0.01813570926375796,0.3350492308003208,High,-4.607673643922794,-6.545118992951959,-4.073242141170907,-6.467137457098149,Bear
2020-09-30,88.54435042751055,0.01822821322010726,0.31499598748921703,High,-2.812140349043646,-4.781055315242266,0.6389283215570307,-7.1415628889258675,Bear
2020-10-01,89.13078411621501,0.006623050323064428,0.3004406587576196,High,-2.0969350823711763,-4.11718025123572,2.843685791241013,-5.659997197666355,Bear
2020-10-02,90.00111924987061,0.009764697374599507,0.30271773700778853,High,-1.0416002265567825,-3.152243858183601,4.780743960896139,-3.2031781241719903,Bear
2020-10-03,89.13878621064094,-0.009581359058830952,0.2998966426499903,High,-1.8645095792908073,-4.044599124148906,0.1688445989130649,-3.4190573874729457,Bear
2020-10-04,86.80006110284192,-0.02623689649837113,0.3111926881586177,High,-4.304416924936638,-6.509450423224217,-2.6921025028363577,-4.193018685576688,Bear
2020-10-05,85.8092831470898,-0.01141448454256544,0.30770225432007287,High,-5.288213600545022,-7.510985050668861,-3.770051055359347,-6.071480328134193,Bear
2020-10-06,85.8112154582984,2.2518673245430776e-05,0.30537601811938625,High,-5.192711848320997,-7.452710121103889,-2.7308699469535624,-8.305564397568045,Bear
2020-10-07,87.51643925845083,0.019871805696320743,0.3006748486327533,High,-3.251765817832397,-5.571598661822918,-0.43047500334228994,-7.21793380124689,Bear
2020-10-08,89.80808724232405,0.026185343042872233,0.3153459685243994,High,-0.6739997688930299,-3.0745366972452004,5.149058087461533,-5.117248571266176,Bear
2020-10-09,91.91909987231165,0.02350581885005054,0.32725517551228883,High,1.6935193376437896,-0.7790185089755819,5.703661918451242,1.3980958164280688,Sideways
2020-10-10,89.52700931516341,-0.02602386838503834,0.3057061679855259,High,-0.8698024943915028,-3.332846927362265,1.1097928697973103,1.7558119723101173,Sideways
2020-10-11,90.13611537815041,0.006803601143904547,0.28758709838943,High,-0.12014846601959839,-2.6463913889845925,1.1279282145937097,4.003688740208533,Sideways
2020-10-12,86.94884878256377,-0.035360594166001236,0.30994395300233446,High,-3.54049120834522,-6.039776609809266,-3.391369454898452,1.2272418155909515,Recovery
2020-10-13,87.19842882768789,0.0028704238022547734,0.308200192993303,High,-3.2091127558638965,-5.714673707737594,-2.176782369874164,-2.0116131504227197,Recovery
2020-10-14,89.44480175540511,0.025761621601648965,0.29524854791634253,High,-0.6988431961172936,-3.244208620202549,3.0469340907832487,0.27280499902915256,Recovery
2020-10-15,91.35436125986658,0.021349027187553382,0.30402538777363464,High,1.4197717215066463,-1.1587019728760417,6.462095835565584,2.448420467959167,Recovery
2020-10-16,91.07850912020379,-0.003019583694292338,0.30435030245196115,High,1.1655537773551439,-1.4384926766167205,6.138234534697995,3.2397373855628464,Recovery
2020-10-17,89.79842444549129,-0.014054739005697425,0.30623561160219986,High,-0.18074691842010493,-2.7959174633667927,2.6074931822824388,2.16579357257658,Recovery
2020-10-18,87.54307202012455,-0.025115723792412004,0.3191133542313823,High,-2.5910284262977257,-5.184940564599039,-2.5220615333760854,2.4971341407303838,Recovery
2020-10-19,85.83039337525895,-0.01956383989439958,0.3107122709841211,High,-4.395304971718261,-6.97583882977929,-6.623984031078145,-1.2981317672917991,Recovery
2020-10-20,87.22659390702546,0.016266971137627095,0.30943431367050006,High,-2.7778786789116827,-5.404396629540442,-2.569521115175155,-1.4882446075019873,Recovery
2020-10-21,89.24128669804811,0.023097231025323683,0.3134173898210116,High,-0.5245596135181829,-3.178314070035193,-0.992752656743856,0.12397802053332185,Recovery
2020-10-22,90.05034670491432,0.009065983210256645,0.3141263353632251,High,0.3958976480358034,-2.280761127287134,3.567037362514802,0.05469649205920302,Sideways
2020-10-23,91.52095039066268,0.016330905316415567,0.31732734567104104,High,2.047877981708046,-0.6768270880856853,4.957109458378528,2.672421603759023,Recovery
2020-10-24,90.84134237309372,-0.0074257097928726035,0.3165094346027943,High,1.3148602953125366,-1.3991200950518423,1.5613435216812022,4.655850720500809,Recovery
2020-10-25,90.09972699448205,-0.008163853144813604,0.3027399882767007,High,0.5342284834217947,-2.1766594224346902,-1.3733709568781172,4.999976331276179,Recovery
2020-10-26,89.80202999712569,-0.0033040832340657245,0.2995146141281168,High,0.2227203894766161,-2.463958327030935,-1.4015151712611251,4.650691075185498,Recovery
2020-10-27,89.26630823217968,-0.005965586356601826,0.30081341164298575,High,-0.38912375397096577,-3.0129913596783076,-0.5925674270984671,1.9994745999219576,Recovery
2020-10-28,90.2225577823602,0.010712323261911294,0.2956053510440304,High,0.666863015070307,-1.9540122393823522,3.0607627770015577,0.46150692299882223,Recovery
2020-10-29,92.72002038431401,0.02768113278253903,0.29721281681794526,High,3.4592500038443275,0.7554854060405347,8.027024854625719,0.8713319790064844,Recovery
2020-10-30,93.88173398355259,0.012529263846399186,0.28938945962549567,High,4.789950753665684,1.9963219579530955,7.629714492372397,4.8641462522881485,Recovery
2020-10-31,92.83009793910672,-0.011201710916738161,0.2760923193834654,High,3.654261594379804,0.8394421944498465,4.021469628963903,2.988793725638361,Recovery
2020-11-01,91.29041243935929,-0.016586059197712055,0.2826385857848742,High,1.9735091418827233,-0.8283339830829961,1.3770804664512193,4.993238803716227,Recovery
2020-11-02,91.78648963325722,0.005434055785731751,0.250449400576633,High,2.5392736001267124,-0.26877822504370874,0.2901403902178412,5.261632425322427,Recovery
2020-11-03,91.52652991359572,-0.0028322220481488136,0.2511785020713685,High,2.227671625573424,-0.5262659489728039,0.7542684009312239,2.3273886434264757,Recovery
2020-11-04,93.80367306565864,0.02487959670504969,0.2501626397126157,High,4.713799100791882,1.9569238800971611,4.110940393197238,2.681110974904355,Recovery
2020-11-05,95.18712892394238,0.014748418831268761,0.2448468903795864,High,6.220141336659979,3.451068412769809,5.9966338477972725,4.511074943394289,Bull
2020-11-06,95.37551934173756,0.0019791585262090017,0.24414845079948602,High,6.40541410731561,3.6286887670831325,6.8438039284294705,6.210682348476637,Bull
2020-11-07,95.67372232810392,0.0031266197911634652,0.23678128919177022,High,6.71376677398523,3.925773011010425,6.041908675315244,9.287599944071268,Bull
2020-11-08,94.99289582890631,-0.007116128469035421,0.2171221632551653,Medium,5.851868083583689,3.1723067429196172,2.4513319077923867,10.675125783925976,Bull
2020-11-09,94.95292018239097,-0.0004208277489229362,0.20044767113487644,Medium,5.643204699688664,3.1366579148046414,1.1409953282563334,8.857764506545983,Bull
2020-11-10,96.97298885813649,0.021274423913085094,0.2047313477649837,Medium,7.643830412532182,5.328302274093777,4.4628746613489145,8.66381743939768,Bull
2020-11-11,98.63046188713584,0.017092110375437564,0.19907162635989017,Medium,9.17500525789572,7.11155439503377,8.040328936680252,9.528131202356915,Bull
2020-11-12,101.08211463299584,0.024856952902293727,0.2104748833957021,Medium,11.590003291289431,9.731314407029924,10.127443632369303,10.446967827061183,Bull
2020-11-13,101.16698151981727,0.000839583611102368,0.2073423239606318,Medium,11.38941518631109,9.767460207014622,10.532958711886575,11.366673892064693,Bull
2020-11-14,100.54546192937445,-0.006143502367134124,0.20643032122072605,Medium,10.428499150732629,9.049278980584162,7.18712673329629,11.59352562248288,Bull
2020-11-15,98.72702020651914,-0.018085766258974734,0.21695018143288944,Medium,8.181645727899301,7.057315468677161,3.718875989426307,9.938517213563113,Bull
2020-11-16,97.83508897959797,-0.00903431730295734,0.22041197998764708,Medium,6.971267515795598,6.088466039933249,2.5788269933792796,9.599120784889049,Bull
2020-11-17,99.00791325650133,0.011987767263623939,0.21876807976650867,Medium,7.932677532138399,7.349311282451687,3.4849599736102244,9.737426747902278,Bull
2020-11-18,99.67080620636655,0.006695353210281807,0.2178952389203444,Medium,8.355020886441267,8.05357116331573,4.924484443432187,7.4965318096807065,Bull
2020-11-19,103.8058637599641,0.04148714865450165,0.240231647348827,High,12.477134869006612,12.478260850704338,9.323508493017263,10.570884617608511,Bull
2020-11-20,103.07303269227866,-0.007059630748605938,0.24258245656822977,High,11.346667370413988,11.627135805641897,6.29045665805561,11.034066515680019,Bull
2020-11-21,100.6280081533925,-0.023721282618953343,0.25632451348778157,High,8.4563678366256,8.950498580350619,2.025283292845659,10.228451668170324,Bull
2020-11-22,100.34490841969068,-0.002813329399010578,0.24666484261559324,High,7.890625847741117,8.621378384189393,-0.7293141976518536,9.324268550447389,Bull
2020-11-23,100.27968785762371,-0.0006499638406582964,0.24731365702211655,High,7.508869930064832,8.534925925193004,-0.8770585509855766,9.563519945846611,Bull
2020-11-24,101.48367056729329,0.012006247081452592,0.24723508954768594,High,8.435211185049795,9.817368782654267,0.933118829945645,8.187309996122405,Bull
2020-11-25,103.86892103114302,0.023503785885120143,0.24588656469236403,High,10.557216782067623,12.353699373145076,5.208200160268128,9.120762654935909,Bull
2020-11-26,105.50182093743878,0.015720774704169438,0.24639589948243798,High,11.866957064826146,14.046247168567195,7.836382669861508,10.617296414835685,Bull
2020-11-27,104.92392852978503,-0.005477558610068267,0.24889860241854195,High,10.898706565542104,13.345292472050563,5.9752953867000524,9.668492012841746,Bull
2020-11-28,104.01538217959589,-0.008659095812746154,0.25313181069779406,High,9.658026452115308,12.29115588406382,4.358925284735804,9.49806432571565,Bull
2020-11-29,101.58013793029028,-0.023412347272837475,0.2680898289656089,High,6.819204568323878,9.616720207318519,-2.144123413702803,6.979477550737112,Bull
2020-11-30,101.71207809593714,0.001298877598860937,0.2678525347211512,High,6.698182222591997,9.71793345888634,-1.3203789204540017,4.887019873888332,Bull
2020-12-01,102.01656319165431,0.0029935982178042053,0.2598607870671137,High,6.680348110166046,10.011882085277835,1.3798892214433645,3.433119180150679,Bull
2020-12-02,102.72220116279134,0.006916896130007455,0.2550288338732943,High,7.070619748407436,10.723881301133398,2.369121443768396,1.622528907067533,Bull
2020-12-03,104.00810805438441,0.012518295724165851,0.24449564204976315,High,8.082826342449811,12.040580416243806,3.7180213425217934,2.808353567424171,Bull
2020-12-04,104.95313323103777,0.00908607217582702,0.24589175478683545,High,8.757492747131824,12.979424949761164,3.418739827156614,4.383759562176337,Bull
2020-12-05,103.32416316603548,-0.01552092838825847,0.2518142336510475,High,6.798430969644098,11.154857829379994,-0.5244666640411233,4.656418222589864,Bull
2020-12-06,100.75486710351468,-0.02486636217311622,0.2594123658260983,High,3.9073953250459814,8.346331761391014,-4.499404646995597,2.9843874568618034,Bull
2020-12-07,100.03710358475621,-0.0071238595156009055,0.2585554120734303,High,2.901996049266753,7.54816423456528,-4.65749330348566,1.0395031007153444,Bull
2020-12-08,100.78815286457866,0.007507707169731592,0.25665596363017784,High,3.3565029031241256,8.320637296553436,-3.1026462119275844,1.1210370425806193,Bull
2020-12-09,101.88377513704256,0.010870546203342046,0.25823160176968535,High,4.1669045538975436,9.45039168751547,0.29891395398642384,-1.851618543790634,Sideways
2020-12-10,103.02274002790489,0.011179060545511987,0.21659879401503027,Medium,5.035396970636885,10.609278569080693,1.2886000920475649,-0.04879323239078692,Sideways
2020-12-11,103.75654642834503,0.007122761443166592,0.216570276851072,Medium,5.488719917396789,11.323782317064435,1.7055889575714245,3.109013417202444,Bull
2020-12-12,101.19577316339243,-0.024680594652609078,0.21793793618385562,Medium,2.683190226061427,8.51724982397748,-1.485976723746274,0.8479401268104425,Bull
2020-12-13,98.03608781328445,-0.03122349137059599,0.24383016400396024,High,-0.667972107535475,5.093691505979492,-5.741879506141256,-2.237342469119674,Correction
2020-12-14,96.27915237071998,-0.017921313281193507,0.25076419705535935,High,-2.5701363416417933,3.195409028533569,-8.264623068682841,-5.128429201939655,Correction
2020-12-15,96.53390091372547,0.002645936703146168,0.24631970743688442,High,-2.4452580896522025,3.4549224358874975,-6.571804739805609,-7.06180447876058,Correction
2020-12-16,98.52244456679941,0.02059943330013292,0.24267007362251622,High,-0.6216031828281121,5.555339178912488,-2.2156969691813577,-6.6154084437822664,Correction
2020-12-17,101.73093966256211,0.03256613363452732,0.26455018312811157,High,2.3770808547234124,8.93314461200081,1.6932078370009984,-3.0431465081070863,Correction
2020-12-18,103.10736209559535,0.013530027714270476,0.2691922959639311,High,3.545766260139005,10.329432859181885,2.301073256231634,-0.8729671179140808,Correction
2020-12-19,101.95727042473136,-0.011154311850182785,0.27025922795526514,High,2.224978175055692,9.031520015894268,0.07213640011860534,0.37126597987087173,Correction
2020-12-20,100.29983984759141,-0.01625612935924492,0.2637784148002762,High,0.41279029740703965,7.21201000862659,-2.6430088925764816,-1.3884666155514758,Correction
2020-12-21,98.29604737059888,-0.019978022697118458,0.2721434063647694,High,-1.7311009659879861,5.041548253341399,-5.262799549247921,-3.64697231964759,Correction
2020-12-22,98.76171468326933,0.004737396112325598,0.2725717102438982,High,-1.4030714298650326,5.515220154118472,-2.4052965890117073,-3.8555311653082014,Correction
2020-12-23,100.13509977380176,0.013906047449023129,0.2763090988272812,High,-0.20351218311098762,6.945264439744214,2.141060508774073,-3.723756111934573,Correction
2020-12-24,102.11726420358382,0.019794901430763456,0.2819107523471053,High,1.60358260049831,8.998700092722434,6.063734140891008,-2.7020336984235005,Correction
2020-12-25,101.7894897732225,-0.003209784681538874,0.27972949923399987,High,1.1445702286112969,8.582759848708088,5.444293465560945,-1.4852996102633353,Correction
2020-12-26,101.31194590656773,-0.004691485021869113,0.2752767110341736,High,0.5514251523179636,8.009444375585172,2.8313358971488123,0.5529051043069888,Correction
2020-12-27,101.15382668790198,-0.0015607164313236055,0.2610680990412125,High,0.2854030966559451,7.788882259555319,-0.5672934670360785,1.1163089125222792,Correction
2020-12-28,100.06700611724492,-0.01074423584596873,0.2626646292455196,High,-0.891800639893614,6.597261469696281,-2.948728312466753,-0.7155074548322093,Correction
2020-12-29,100.93253012496861,0.008649444420367525,0.26309731172862405,High,-0.15283505902452532,7.48009868516446,-1.0050683933513604,-0.9336570133904543,Correction
2020-12-30,103.24203985738829,0.022881718406941642,0.27236273062987343,High,2.00531964869779,9.881835247738891,2.933404494232139,0.21286546001786366,Bull
2020-12-31,104.53295922751575,0.012503815034172527,0.27303841241570764,High,3.1604532317507816,11.18036962708957,6.345028130584196,0.7483024694802332,Bull
2021-01-01,105.22419953122983,0.0066126541219366786,0.2728960592594609,High,3.7577914875508434,11.831081306426139,6.543512198715673,3.9808247339866876,Bull
2021-01-02,104.2528827210821,-0.009230926103262482,0.2596388237963998,High,2.737487084472967,10.727886425046162,4.112227337449248,6.341333121776449,Bull
2021-01-03,102.70441843115525,-0.014852963769545036,0.23897653977688582,High,1.1684822162081332,9.030461184677495,0.5749803739364401,6.673579796065265,Bull
2021-01-04,101.0343368141512,-0.016261049354206025,0.23726731891765496,High,-0.5218424738624994,7.221704518596206,-0.7418771434592131,4.662026353257875,Bull
2021-01-05,101.54120397121658,0.0050167811562691345,0.23743983447550224,High,-0.09569312291718424,7.720300542053593,0.22628927181032044,3.064032178343301,Bull
2021-01-06,103.63685892281646,0.02063846861805896,0.23747732672599223,High,1.8733858848458684,9.882372050232679,2.454709145681244,1.8734902740269677,Bull
2021-01-07,106.54680610950027,0.028078303577793617,0.2307358477752,Medium,4.592429721571745,12.876517203922756,6.475461037240593,3.3357889718059752,Bull
2021-01-08,107.8468125701915,0.012201271048474238,0.2299659977461858,Medium,5.784664432038755,14.147691627801539,6.850400397832135,5.776480795264138,Bull
2021-01-09,108.67151383935501,0.007646969340208809,0.22534233419746302,Medium,6.476654653556069,14.911519767191251,5.258975887600292,8.346647416869857,Bull
2021-01-10,106.3974299353144,-0.020926219058678974,0.23091821039398833,Medium,4.130772774621172,12.424731579409954,1.7836199430082633,8.24181926071903,Bull
2021-01-11,106.12861042253279,-0.002526560208691575,0.21658738655506127,Medium,3.750224730395635,12.069334435744828,0.8595084546445309,7.459262693938862,Bull
2021-01-12,106.76105285369164,0.00595920768811431,0.21669918739884783,Medium,4.236403100891306,12.667212582210663,2.4058520658079896,6.6170135096059735,Bull
2021-01-13,110.17400876206136,0.0319681739467943,0.23552386622523216,High,7.3864194217274415,16.168211983679747,7.2729006648464045,7.889698790221589,Bull
2021-01-14,111.19622234763678,0.009278173655122623,0.22975800982211522,Medium,8.228178127581586,17.133975027106494,10.057853452512866,9.241359393166814,Bull
2021-01-15,111.0241623638151,-0.0015473545790410936,0.2291571977828361,Medium,7.944671547930904,16.836584964785708,9.339024968904841,9.586447452311496,Bull
2021-01-16,109.57688752064352,-0.013035674508662276,0.23500450626144748,High,6.441234059914613,15.207686554428301,5.7315791500887725,8.326981893359186,Bull
